Average complications and average payment
Average complications and higher payment
Average complications and lower payment
Average mortality and average payment
Average mortality and higher payment
Average mortality and lower payment
Better complications and lower payment
Better mortality and average payment
Better mortality and higher payment
Better mortality and lower payment
Not Available
Worse complications and average payment
Worse complications and higher payment
Worse complications and lower payment
Worse mortality and average payment
Worse mortality and higher payment
Worse mortality and lower payment
